NOEUD_O;NOEUD_D;VL_HCE
7800;9211;1.93
7800;9212;0.6
7800;9217;0.46
7800;9224;0.72
7800;9225;0.99
7800;9228;0.52
7800;9229;0.24
7800;9230;0.44
7800;9231;0.16
7800;9232;0.01
7800;9233;1
7800;9234;0.22
7800;9236;0.53
7800;9237;0.18
7800;9238;0.17
7800;9239;0.12
7800;9244;0.39
7800;9245;0.34
7800;9246;0.73
7800;9251;0.06
7800;9252;0.15
7800;9255;0.4
7800;9256;0.1
7800;9257;0.1
7800;9258;0
7800;9259;0
7800;9260;0
7800;9261;0
7800;9262;0
7800;9263;0
7800;9264;0
7800;9265;0
7800;9266;0
7800;9267;0
7800;9268;4.46
7800;9269;1.74
7800;9270;0.1
7800;9271;11.84
7800;9272;2.53
7800;9273;2.28
7800;9274;2.97
7800;9275;10.85
7800;9276;0.25
7800;9277;0.3
7800;9278;0
7800;9279;0
7800;9280;0
7800;9281;0
7800;9282;4.79
7800;9283;0
7800;9284;0
7800;9285;0
7800;9286;0
7800;9287;0
7800;9288;0
7800;9289;0
7800;9290;0
7800;9291;0
7800;9292;0
7800;9293;0
7800;9294;0
7800;9295;0
7800;9296;0.22
7800;9297;0.05
7800;9298;0.09
7800;9299;0.25
7800;9300;0
7800;9301;0
7800;9302;0
7800;9303;0
7800;9304;0
7800;9305;0
7800;9306;0.11
7800;9307;0
7800;9308;0.08
7800;9309;0.88
7800;9310;0.4
7800;9311;0.13
7800;9312;0.18
7800;9313;0.22
7800;9314;0.06
7800;9315;0.2
7800;9316;0.05
7800;9317;0.09
7800;9318;0.02
7800;9319;0.03
7800;9320;0.01
7800;9321;0.08
7800;9322;0.01
7800;9323;0.05
7800;9324;0.08
7800;9325;0.06
7800;9326;0.07
7800;9327;0.09
7800;9328;0.11
7800;9329;0.03
7800;9330;0.03
7800;9331;0.02
7800;9332;0.03
7800;9333;0.04
7800;9334;0.05
7800;9335;0.01
7800;9336;0.01
7800;9337;0.02
7800;9338;0.05
7800;9339;0
7800;9340;0.02
7800;9341;0.03
7800;9342;0.08
7800;9343;0.01
7800;9344;0.03
7800;9345;0.01
7800;9346;0.07
7800;9347;0.03
7800;9348;0.11
7800;9349;0.02
7800;9350;0.01
7800;9351;0
7800;9352;0.04
7800;9353;0.02
7800;9354;0.04
7800;9355;0.03
7800;9356;0.02
7800;9357;0.02
7800;9358;0.02
7800;9359;0.1
7800;9360;0.03
7800;9361;0.05
7800;9362;0.52
7800;9363;0.08
7800;9364;0.07
7800;9365;0.91
7800;9366;0.02
7800;9367;0.13
7800;9368;0.02
7800;9369;0.01
7800;9370;0.03
7800;9371;0.1
7800;9372;0.02
7800;9373;0.03
7800;9374;0.01
7800;9375;0
7800;9376;0
7800;9377;0
7800;9378;0
7800;9379;0
7800;9380;0
7800;9381;0.34
7800;9382;0.02
7800;9383;0.25
7800;9384;0.11
7800;9385;0.12
7800;9386;0
7800;9387;0
7800;9388;0.2
7800;9389;0.08
7800;9390;0.05
7800;9391;0.09
7800;9392;0.06
7800;9393;0.01
7800;9394;0.04
7800;9395;0.14
7800;9396;0.02
7800;9397;0.53
7800;9398;0.11
7800;9399;0.06
7800;9400;0.04
7800;9401;0.21
7800;9402;0.02
7800;9403;0.08
7800;9404;0.11
7800;9405;0.13
7800;9406;0.09
7800;9407;0
7800;9408;0
7800;9409;0.06
7800;9410;0.19
7800;9411;0
7800;9412;0.02
7800;9413;0.05
7800;9414;0
7800;9415;0
7800;9416;0
7800;9417;0
7800;9418;0
7800;9419;0
7800;9420;0
7800;9421;0
7800;9422;0
7800;9423;0
7800;9424;0
7800;9425;0
7800;9426;0
7800;9427;0
7800;9428;0
7800;9429;0
7800;9430;0
7800;9431;0
7800;9432;0
7800;9433;0.05
7800;9434;0
7800;9435;0
7800;9436;0.42
7800;9437;0.03
7800;9439;0.01
7800;9441;23.74
7800;9448;3.03
7800;9449;2.1
7800;9450;2.19
7800;9451;4.08
7800;9452;8.5
7800;9453;2.04
7800;9454;4.55
7800;9455;1.69
7800;9456;1.07
7800;9457;1.72
7800;9458;1.15
7800;9459;0.75
7800;9460;2.64
7800;9461;1.39
7800;9462;1.52
7800;9463;1.07
7800;9464;2.55
7800;9465;0.25
7800;9466;0.18
7800;9467;0.49
7800;9468;0.42
7800;9469;0.49
7800;9470;0.33
7800;9471;0.46
7800;9472;0.12
7800;9473;0.17
7800;9474;0.46
7800;9475;0.36
7800;9476;0.48
7800;9477;1.28
7800;9478;1.85
7800;9479;0.79
7800;9480;0.21
7800;9481;0.44
7800;9482;0.32
7800;9483;1.27
7800;9484;0.35
7800;9485;0.35
7800;9486;0.37
7800;9487;0.78
7800;9488;0.42
7800;9489;0.43
7800;9490;0.51
7800;9491;0.72
7800;9492;0.65
7800;9493;2.31
7800;9494;1.4
7800;9495;1.38
7800;9496;1.04
7800;9497;0.58
7800;9498;0.01
7800;9499;0.04
7800;9500;0.05
7800;9501;0.88
7800;9502;1.17
7800;9503;2.54
7800;9504;0.43
7800;9505;0.48
7800;9506;0.46
7800;9507;1.52
7800;9508;0.54
7800;9509;0.17
7800;9510;3.3
7800;9511;1.68
7800;9512;2.19
7800;9513;0.23
7800;9514;0.42
7800;9515;1.17
7800;9516;1.29
7800;9517;0.59
7800;9518;0.08
7800;9519;0.53
7800;9520;0.8
7800;9521;0.26
7800;9522;0.39
7800;9523;0.21
7800;9524;0.81
7800;9525;0.04
7800;9526;0.03
7800;9527;0.11
7800;9528;0.02
7800;9529;0.05
7800;9530;0
7800;9531;0.01
7800;9532;0.01
7800;9533;0.01
7800;9534;0.08
7800;9535;0.15
7800;9536;0.16
7800;9537;0.06
7800;9538;0.02
7800;9539;0.05
7800;9540;0.09
7800;9541;0.14
7800;9542;0.07
7800;9543;0.05
7800;9544;0.01
7800;9545;0.06
7800;9546;0.1
7800;9547;0.02
7800;9548;0.03
7800;9549;0.01
7800;9550;0.02
7800;9551;0.02
7800;9552;0.01
7800;9553;0
7800;9554;0
7800;9555;0
7800;9556;0
7800;9557;0.03
7800;9558;0.08
7800;9559;0.03
7800;9560;0.09
7800;9561;0.05
7800;9562;0
7800;9563;0
7800;9564;0
7800;9565;0
7800;9566;0
7800;9567;0.08
7800;9568;0.04
7800;9569;0.27
7800;9570;0.4
7800;9571;0.07
7800;9572;0.23
7800;9573;0.18
7800;9574;0.02
7800;9575;0.05
7800;9576;0.02
7800;9577;0.01
7800;9578;1.1
7800;9579;0.09
7800;9580;0.25
7800;9581;0.14
7800;9582;0.44
7800;9583;0.65
7800;9584;0.87
7800;9585;0.43
7800;9586;0.17
7800;9587;0.19
7800;9588;0.17
7800;9589;0.64
7800;9590;0.13
7800;9591;0.43
7800;9592;0.32
7800;9593;0.37
7800;9594;0.11
7800;9595;0.06
7800;9596;0.08
7800;9597;0.51
7800;9598;0.31
7800;9599;0.01
7800;9600;0.21
7800;9601;0.24
7800;9602;0.3
7800;9603;0.09
7800;9604;0.05
7800;9605;0.28
7800;9606;0.1
7800;9607;0.14
7800;9608;0.23
7800;9609;0.28
7800;9610;0.47
7800;9611;0.24
7800;9612;0.12
7800;9613;0.21
7800;9614;0.03
7800;9615;0
7800;9616;0.07
7800;9617;0.09
7800;9618;0.06
7800;9619;0.17
7800;9620;0.27
7800;9621;0.25
7800;9622;0.19
7800;9623;0.44
7800;9624;0.36
7800;9625;0.23
7800;9626;0.67
7800;9627;0.64
7800;9628;0.63
7800;9629;0.6
7800;9630;0.19
7800;9631;0.2
7800;9632;0.19
7800;9633;0.39
7800;9634;0.44
7800;9635;0.18
7800;9636;0.84
7800;9637;0.24
7800;9638;0.28
7800;9639;0.1
7800;9640;0.06
7800;9641;0.12
7800;9642;0.11
7800;9643;0.16
7800;9644;0.63
7800;9645;0.69
7800;9646;0.85
7800;9647;0.31
7800;9648;0.56
7800;9649;0.37
7800;9650;0.23
7800;9651;0.61
7800;9652;0.13
7800;9653;0.08
7800;9654;0.2
7800;9655;0.11
7800;9656;0.03
7800;9657;0.27
7800;9658;0.13
7800;9659;0
7800;9660;0.43
7800;9661;0.09
7800;9662;0.51
7800;9663;0.12
7800;9664;0.5
7800;9665;0.04
7800;9666;0.68
7800;9667;0.32
7800;9668;0.08
7800;9669;0.6
7800;9670;0.51
7800;9671;0.29
7802;7778;0
7802;7800;0
7802;7802;0
7802;7803;0
7802;7805;0
7802;7806;0
7802;7809;0
7802;7810;0
7802;7812;0
7802;7813;0
7802;7814;0
7802;7815;0
7802;7817;0
7802;7818;0
7802;7819;0
7802;7820;0
7802;7837;0
7802;9065;1.17
7802;9067;0.15
7802;9068;0.87
7802;9071;0.75
7802;9073;1.27
7802;9074;0.33
7802;9075;0.23
7802;9076;0.64
7802;9077;0.14
7802;9078;1.11
7802;9079;0.38
7802;9080;0.07
7802;9081;0.41
7802;9083;0.08
7802;9086;0.43
7802;9090;0.39
7802;9092;0.21
7802;9097;0.61
7802;9098;0.28
7802;9099;0.04
7802;9100;0.1
7802;9103;0.47
7802;9104;0.21
7802;9108;3.33
7802;9109;1.54
7802;9110;0.27
7802;9111;0.2
7802;9115;0.25
7802;9116;0.12
7802;9117;0.53
7802;9118;0.26
7802;9119;0.41
7802;9120;0.81
7802;9121;0.01
7802;9122;0.26
7802;9123;0.51
7802;9124;0.34
7802;9125;1.1
7802;9126;0.24
7802;9127;0.36
7802;9128;0.1
7802;9129;0.02
7802;9130;0.15
7802;9131;0.04
7802;9132;0.05
7802;9133;0.11
7802;9136;0.07
7802;9137;0.04
7802;9139;0.01
7802;9140;0.02
7802;9141;0.02
7802;9147;0.07
7802;9149;0.05
7802;9150;0.12
7802;9151;0.06
7802;9152;0.2
7802;9154;0.26
7802;9155;0.05
7802;9156;0.25
7802;9157;0.36
7802;9159;0.03
7802;9160;0.04
7802;9161;0.28
7802;9162;0.44
7802;9163;0.27
7802;9164;0.02
7802;9165;0.1
7802;9166;0.09
7802;9167;0
7802;9168;0
7802;9169;1.2
7802;9170;0.96
7802;9171;0.21
7802;9172;0.27
7802;9173;0.12
7802;9174;0.1
7802;9175;0.72
7802;9176;0.75
7802;9177;0.18
7802;9178;0.11
7802;9179;0.12
7802;9180;0.13
7802;9181;0.05
7802;9182;0.22
7802;9183;0.07
7802;9184;0.01
7802;9185;0.08
7802;9186;0.03
7802;9187;0.35
7802;9188;0.45
7802;9189;0.11
7802;9190;0.39
7802;9191;0.18
7802;9192;0
7802;9193;0
7802;9194;0.11
7802;9195;0.65
7802;9196;0.06
7802;9197;0.39
7802;9198;0.04
7802;9199;0.03
7802;9200;0
7802;9202;0.08
7802;9203;0.09
7802;9204;0.27
7802;9205;0.09
7802;9206;0.32
7802;9210;0.1
7802;9211;0.85
7802;9212;0.27
7802;9217;0.21
7802;9224;0.37
7802;9225;0.51
7802;9228;0.27
7802;9229;0.12
7802;9230;0.23
7802;9231;0.08
7802;9232;0.01
7802;9233;0.48
7802;9234;0.11
7802;9236;0.26
7802;9237;0.09
7802;9238;0.08
7802;9239;0.06
7802;9244;0.19
7802;9245;0.17
7802;9246;0.35
7802;9251;0.04
7802;9252;0.11
7802;9255;0.27
7802;9256;0.07
7802;9257;0.07
7802;9258;0
7802;9259;0
7802;9260;0
7802;9261;0.04
7802;9262;0.05
7802;9263;0.02
7802;9264;0
7802;9265;0.11
7802;9266;0.44
7802;9267;0.05
7802;9268;0.02
7802;9269;0.01
7802;9270;0
7802;9271;0.06
7802;9272;0.01
7802;9273;0.01
7802;9274;0.02
7802;9275;0.06
7802;9276;0
7802;9277;0
7802;9278;0
7802;9279;0
7802;9280;0
7802;9281;0.9
7802;9282;0.02
7802;9283;0.3
7802;9284;0.07
7802;9285;0.04
7802;9286;0.38
7802;9287;0.01
7802;9288;0.18
7802;9289;0
7802;9290;0.2
7802;9291;0
7802;9292;0
7802;9293;0
7802;9294;0
7802;9295;0
7802;9296;0.03
7802;9297;0
7802;9298;0
7802;9299;0
7802;9300;0
7802;9301;0.06
7802;9302;0.04
7802;9303;0.07
7802;9304;0
7802;9305;0
7802;9306;0
7802;9307;0
7802;9308;0
7802;9309;0.56
7802;9310;0
7802;9311;0.02
7802;9312;0.11
7802;9313;0
7802;9314;0.1
7802;9315;0.36
7802;9316;0.1
7802;9317;0.17
7802;9318;0.05
7802;9319;0.06
7802;9320;0.02
7802;9321;0.15
7802;9322;0.02
7802;9323;0.09
7802;9324;0.16
7802;9325;0.12
7802;9326;0.12
7802;9327;0.16
7802;9328;0.2
7802;9329;0.05
7802;9330;0.06
7802;9331;0.04
7802;9332;0.06
7802;9333;0.07
7802;9334;0.09
7802;9335;0.03
7802;9336;0.01
7802;9337;0.05
7802;9338;0.09
7802;9339;0.04
7802;9340;0.03
7802;9341;0.05
7802;9342;0.14
7802;9343;0.01
7802;9344;0.05
7802;9345;0.02
7802;9346;0.13
7802;9347;0.05
7802;9348;0.21
7802;9349;0.04
7802;9350;0.02
7802;9351;0.01
7802;9352;0.07
7802;9353;0.04
7802;9354;0.07
7802;9355;0.05
7802;9356;0.03
7802;9357;0.03
7802;9358;0.04
7802;9359;0.18
7802;9360;0.06
7802;9361;0.09
7802;9362;0.22
7802;9363;0.04
7802;9364;0.03
7802;9365;0.39
7802;9366;0.04
7802;9367;0.24
7802;9368;0.04
7802;9369;0.02
7802;9370;0.06
7802;9371;0.19
7802;9372;0.03
7802;9373;0.05
7802;9374;0.02
7802;9375;0.02
7802;9376;0.09
7802;9377;0
7802;9378;0.29
7802;9379;0.02
7802;9380;0
7802;9381;0.14
7802;9382;0.01
7802;9383;0.1
7802;9384;0.05
7802;9385;0.05
7802;9386;0
7802;9387;0
7802;9388;0.08
7802;9389;0.03
7802;9390;0.02
7802;9391;0.04
7802;9392;0.02
7802;9393;0
7802;9394;0.01
7802;9395;0.06
7802;9396;0.01
7802;9397;0.33
7802;9398;0.07
7802;9399;0.04
7802;9400;0.02
7802;9401;0.13
7802;9402;0.01
7802;9403;0.05
7802;9404;0.07
7802;9405;0.08
7802;9406;0.06
7802;9407;0.01
7802;9408;0
7802;9409;0.04
7802;9410;0.12
7802;9411;0
7802;9412;0.01
7802;9413;0.02
7802;9414;0.09
7802;9415;0.02
7802;9416;0.01
7802;9417;0.02
7802;9418;0.01
7802;9419;0
7802;9420;0.02
7802;9421;0.03
7802;9422;0.01
7802;9423;0
7802;9424;0
7802;9425;0
7802;9426;0.14
7802;9427;0.03
7802;9428;0
7802;9429;0
7802;9430;0
7802;9431;0
7802;9432;0
7802;9433;0.02
7802;9434;0
7802;9435;0
7802;9436;0.27
7802;9437;0.02
